Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
1 launch_application,5,1037,1057,1067,1082,1082,957,1082,0.000%,.09377,0.25,0.07
3 login,5,1011,862,1356,1376,1376,690,1376,60.000%,.09410,0.18,0.09
6 click_flights,2,1380,1336,1424,1424,1424,1336,1424,0.000%,.09450,0.66,0.14
11 logout,2,979,959,1000,1000,1000,959,1000,0.000%,.09645,0.26,0.09
Debug Sampler,2,0,0,1,1,1,0,1,0.000%,.11930,0.06,0.00
TOTAL,16,935,1000,1356,1376,1424,0,1424,18.750%,.28017,0.76,0.24
